ticker,company,gics_sector
APA,APA Corporation,Energy
AOS,A. O. Smith,Industrials
PPG,PPG Industries,Materials
HSY,Hershey Company (The),Consumer Staples
COST,Costco,Consumer Staples
GEV,GE Vernova,Industrials
DHI,D. R. Horton,Consumer Discretionary
SRE,Sempra,Utilities
EXPD,Expeditors International,Industrials
KEYS,Keysight Technologies,Information Technology
DPZ,Domino's,Consumer Discretionary
ES,Eversource Energy,Utilities
BIIB,Biogen,Health Care
WY,Weyerhaeuser,Real Estate
SPGI,S&P Global,Financials
RSG,Republic Services,Industrials
AIZ,Assurant,Financials
PG,Procter & Gamble,Consumer Staples
HBAN,Huntington Bancshares,Financials
VTRS,Viatris,Health Care
PH,Parker Hannifin,Industrials
KR,Kroger,Consumer Staples
WDC,Western Digital,Information Technology
HCA,HCA Healthcare,Health Care
BG,Bunge Global,Consumer Staples
NTAP,NetApp,Information Technology
MGM,MGM Resorts,Consumer Discretionary
CHD,Church & Dwight,Consumer Staples
DLR,Digital Realty,Real Estate
CHTR,Charter Communications,Communication Services
LH,Labcorp,Health Care
GD,General Dynamics,Industrials
OTIS,Otis Worldwide,Industrials
NUE,Nucor,Materials
COHR,Coherent Corp.,Information Technology
PCAR,Paccar,Industrials
CBOE,Cboe Global Markets,Financials
CDNS,Cadence Design Systems,Information Technology
DIS,Walt Disney Company (The),Communication Services
MLM,Martin Marietta Materials,Materials
F,Ford Motor Company,Consumer Discretionary
MDLZ,Mondelez International,Consumer Staples
NRG,NRG Energy,Utilities
AVY,Avery Dennison,Materials
TMUS,T-Mobile US,Communication Services
FFIV,"F5, Inc.",Information Technology
Q,Qnity Electronics,Information Technology
FSLR,First Solar,Information Technology
BA,Boeing,Industrials
FE,FirstEnergy,Utilities
EBAY,eBay Inc.,Consumer Discretionary
TPL,Texas Pacific Land Corporation,Energy
NDSN,Nordson Corporation,Industrials
DD,DuPont,Industrials
TDY,Teledyne Technologies,Information Technology
TSN,Tyson Foods,Consumer Staples
VST,Vistra Corp.,Utilities
UHS,Universal Health Services,Health Care
CMS,CMS Energy,Utilities
EXE,Expand Energy,Energy
IRM,Iron Mountain,Real Estate
MOS,Mosaic Company (The),Materials
ATO,Atmos Energy,Utilities
DELL,Dell Technologies,Information Technology
NEE,NextEra Energy,Utilities
NI,NiSource,Utilities
PSA,Public Storage,Real Estate
CL,Colgate-Palmolive,Consumer Staples
EME,Emcor,Industrials
CI,Cigna,Health Care
EVRG,Evergy,Utilities
UAL,United Airlines Holdings,Industrials
PEP,PepsiCo,Consumer Staples
ABNB,Airbnb,Consumer Discretionary
EIX,Edison International,Utilities
BALL,Ball Corporation,Materials
MCHP,Microchip Technology,Information Technology
GNRC,Generac,Industrials
INTC,Intel,Information Technology
ULTA,Ulta Beauty,Consumer Discretionary
ARE,Alexandria Real Estate Equities,Real Estate
APTV,Aptiv,Consumer Discretionary
D,Dominion Energy,Utilities
MU,Micron Technology,Information Technology
URI,United Rentals,Industrials
LEN,Lennar,Consumer Discretionary
NKE,"Nike, Inc.",Consumer Discretionary
TDG,TransDigm Group,Industrials
INVH,Invitation Homes,Real Estate
SOLV,Solventum,Health Care
IT,Gartner,Information Technology
TEL,TE Connectivity,Information Technology
GS,Goldman Sachs,Financials
XEL,Xcel Energy,Utilities
SHW,Sherwin-Williams,Materials
STE,Steris,Health Care
PNW,Pinnacle West Capital,Utilities
STLD,Steel Dynamics,Materials
HON,Honeywell Technologies,Industrials
DOV,Dover Corporation,Industrials
MAA,Mid-America Apartment Communities,Real Estate
IDXX,Idexx Laboratories,Health Care
VICI,Vici Properties,Real Estate
KLAC,KLA Corporation,Information Technology
CVX,Chevron Corporation,Energy
XYZ,"Block, Inc.",Financials
BXP,"BXP, Inc.",Real Estate
